chunk_file,summary
chunk_0.txt,"Der böhmische König Polixenes ist auf Besuch beim sizilianischen Herrscher Leontes. Die beiden sind zusammen aufgewachsen und haben eine unbeschwerte Kindheit miteinander verbracht. Seither gelten sie als unzertrennliche Freunde. Leontes versucht, seinen Gast zu überreden, den Aufenthalt auf Sizilien noch um einige Tage zu verlängern. Polixenes fürchtet jedoch, durch die monatelange Abwesenheit könnte seine Macht in Böhmen untergraben werden."
chunk_1.txt,"Leontes, König von Sizilien, verdächtigt seine schwangere Frau Hermione der Untreue mit ihrem gemeinsamen Freund Polixenes, dem König von Böhmen."
chunk_1.txt,"Erst Leontes’ Ehefrau Hermione gelingt es, den böhmischen König umzustimmen. Dafür erhält sie von ihrem Gatten überschwängliches Lob, das allerdings pure Heuchelei ist. Leontes ist sich sicher, dass der Jugendfreund und seine Frau ein heimliches Liebesverhältnis pflegen."
chunk_1.txt,"Ohne ersichtlichen Grund unterstellt er seiner schwangeren Ehefrau Hermione und seinem Jugendfreund Polixenes, dem König von Böhmen, dass sie ihn betrogen hätten und das ungeborene Kind nicht von ihm gezeugt worden sei."
chunk_2.txt,"Der Gedanke, ein Gehörnter zu sein und von seinem ganzen Hof verlacht zu werden, treibt ihn zur Raserei. Während er mit seinem jungen Sohn, dem Prinzen Mamillius, spricht, macht er immer wieder Anspielungen auf seine vermeintlichen Hörner, was der Junge allerdings nicht versteht."
chunk_3.txt,"Leontes fragt den sizilianischen Lord Camillo, ob er nichts vom schändlichen Ehebruch bemerkt habe. Als dieser die Frage entschieden verneint, bezichtigt Leontes ihn der Lüge und des Treuebruchs. Camillo ist felsenfest davon überzeugt, dass weder der böhmische Gast noch Hermione zu solch schändlichem Verrat imstande wäre, und er fordert seinen König auf, zur Vernunft zu kommen. "
chunk_4.txt," Er beauftragt Lord Camillo damit, Polixenes, der zu Besuch in Sizilien weilt, zu vergiften; Camillo verspricht zwar Gehorsam, offenbart dann aber seinem Opfer den Plan "
chunk_4.txt,"Leontes beauftragt deshalb Camillo, Polixenes zu vergiften. Stattdessen warnt Camillo den Gast"
chunk_4.txt,"Doch Leontes steigert sich in eine derart bedrohliche Wut hinein, dass der treue Gefolgsmann es mit der Angst zu tun bekommt. Um den Rasenden zu besänftigen, willigt Camillo ein, dem angeblichen Verräter beim nächsten Festessen einen Gifttrank zu reichen. Kaum hat der Lord sein Versprechen abgegeben, überwältigen ihn Gewissensbisse. Er schwört sich, niemals aus Gehorsam und Opportunismus zum Mörder zu werden. Darauf trifft er mit Polixenes zusammen, der bemerkt hat, dass ihn sein Gastgeber plötzlich mit schneidender Kälte behandelt. Er bedrängt Camillo, ihm den Grund für das unerklärliche Verhalten zu nennen. Nach einigem Zögern rückt sein Gesprächspartner mit der Wahrheit heraus."
chunk_5.txt,"Polixenes ist ebenso überrascht wie entsetzt, bringt aber dennoch ein gewisses Verständnis für Leontes auf: Da dessen Eifersucht einem so wunderbaren Wesen wie Hermione gelte, müsse sie zwangsläufig groß sein, und dass der angebliche Verräter ausgerechnet ein enger Freund sei, schüre wohl den Rachedurst des Betrogenen zusätzlich. Der böhmische König beschließt, sofort heimlich abzureisen. Camillo bietet ihm seine Hilfe und Gefolgschaft an. Als Leontes die Flucht bemerkt, schäumt er vor Wut über den feigen Verrat und ist mehr denn je davon überzeugt, dass er mit seinem Verdacht richtig liegt. Die hochschwangere, vollkommen überraschte Hermione lässt er ins Gefängnis werfen, wobei er ihr den Kontakt mit dem Prinzen Mamillius aufs Strengste verbietet. Dass sie kurz vor der Niederkunft steht, kümmert ihn nicht im Geringsten. Er glaubt felsenfest, dass das ungeborene Kind von seinem angeblichen Nebenbuhler stammt."
chunk_6.txt,"Der sizilianische Hofstaat ist aufgrund der Anschuldigungen gegen die Königin entsetzt. Der Lord Antigonus rühmt die Treue der Verschmähten in den höchsten Tönen und versucht, den König von seiner Überzeugung abzubringen."
chunk_7.txt," Vergeblich: Leontes beruft sich auf seinen untrüglichen Instinkt und auf die ständigen Vertraulichkeiten, die er beobachtet haben will. Er verkündet allerdings, dass er die beiden Adligen Dion und Cleomenes zum Orakel von Delphi geschickt habe, und erklärt sich bereit, auf den göttlichen Rat zu hören. Paulina will mit dem Kind im Arm vor den rasenden Herrscher treten und ihn um Gnade für die vermeintliche Ehebrecherin bitten."



