chunk_file	summary
chunk_0.txt	The Bohemian king Polixenes is visiting the Sicilian ruler Leontes. The two grew up together and spent a carefree childhood together. Since then they have been considered inseparable friends. Leontes tries to persuade his guest to extend his stay in Sicily by a few more days. However, Polixenes fears that his absence for months will undermine his power in Bohemia. 
chunk_1.txt	Leontes, king of Sicily, suspects his pregnant wife Hermione of infidelity with their mutual friend Polixenes, king of Bohemia. 
chunk_1.txt	Only Leontes' wife Hermione succeeds in persuading the Bohemian king. For this she receives effusive praise from her husband, which, however, is pure hypocrisy. Leontes is certain that the childhood friend and his wife have a secret love affair.
chunk_1.txt	For no apparent reason, he accuses his pregnant wife Hermione and his childhood friend Polixenes, king of Bohemia, of having cheated on him and that the unborn child was not fathered by him.
chunk_2.txt	The thought of being a cuckold and being ridiculed by his entire court drives him mad. While talking to his young son , Prince Mamillius , he keeps making allusions to his supposed horns , which the boy does not understand , however .
chunk_3.txt	Leontes asks the Sicilian lord Camillo if he has not noticed the shameful adultery. When the latter resolutely says no, Leontes accuses him of lying and breach of faith. Camillo is adamant that neither the bohemian guest nor Hermione would be capable of such shameful treachery and urges his king to come to his senses. 
chunk_4.txt	He commissions Lord Camillo to poison Polixenes, who is visiting Sicily; Camillo promises obedience, but then reveals Leonte's plan to his victim,
chunk_4.txt	Leontes commissions  Camillo to poison Polixenes. Instead, Camillo warns the guest.
chunk_4.txt	But Leontes works himself into such a menacing rage that the loyal follower gets scared. In order to appease the madman, Camillo agrees to give the alleged traitor a poisoned potion at the next banquet. No sooner has the lord made his promise than he is overcome with pangs of conscience. He vows never to become a murderer out of obedience and opportunism. He then meets Polixenes, who has noticed that his host is suddenly treating him with a biting coldness. He urges Camillo to tell him the reason for the inexplicable behavior. After some hesitation, his interlocutor reveals the truth.
chunk_5.txt	Polixenes is as surprised as he is horrified, but still shows a certain understanding for Leontes: since his jealousy is directed at such a wonderful being as Hermione, it must inevitably be big, and the fact that the alleged traitor is a close friend of all things, probably fuels the thirst for revenge of the deceived additionally . The Bohemian king decides to secretly leave immediately. Camillo offers him his help and allegiance. When Leontes sees the escape, he seeths with anger at the cowardly betrayal and is more convinced than ever that his suspicions are correct. He has the heavily pregnant , completely surprised Hermione thrown into prison , strictly forbidding her any contact with Prince Mamillius . The fact that she is about to give birth doesn't bother him in the least. He firmly believes that the unborn child came from his alleged rival.
chunk_6.txt	The Sicilian court is appalled by the allegations against the queen. Lord Antigonus praises the loyalty of the scorned to the skies and tries to dissuade the king from his convictions.
chunk_7.txt	In vain: Leontes relies on his unerring instinct and on the constant acts of intimacy that he claims to have observed. However, he announces that he has sent the two nobles Dion and Cleomenes to the oracle of Delphi and agrees to heed the divine advice.
chunk_8.txt	With the child in her arms, Paulina wants to appear in front of the raging ruler and ask him for mercy for the alleged adulteress. However, the plan fails completely: Leontes insults her as a treacherous procuress and also rages against Antigonus for having let his wife in at all. To the dismay of the courtiers , he orders the bastard , who he considers illegitimate , to be burned immediately .
chunk_9.txt	Instead, he orders Lord Antigonus to release it into the wild. 
