chunk_file,summary
chunk_0.txt,"Der Kaufmann Egeon aus Syrakus landet auf der Suche nach seinem verschollenen Zwillingssohn Antipholus an der Küste von Ephesus. Dort wird er verhaftet, da Syrakus und Ephesus miteinander in einem Handelskrieg stehen, und da Egeon das Lösegeld nicht zahlen kann, wird er zum Tode verurteilt."
chunk_0.txt,"Der Herzog von Ephesus führt Aegeon, einen Kaufmann aus Syrakus, zur Exekution. Wegen eines Streites zwischen beiden Städten muss jeder in Ephesus ergriffene Syrakuser 1000 Mark zahlen, wozu Aegeon nicht imstande ist, oder er wird hingerichtet. Der Herzog bittet Aegeon zu erzählen, wie er nach Ephesus kam, und Aegeon erzählt:"
chunk_1.txt,"Egeon erklärt, warum er nach Ephesus kam. Vor Jahren wurden seine Söhne sowie ein weiteres Zwillingspaar, Diener der Brüder, bei einem Schiffsunglück getrennt, bei dem auch Egeons Gattin verloren ging. Der gerührte Herzog von Ephesus gewährt Egeon zur Beschaffung des Lösegeldes Aufschub bis zum Abend. Am gleichen Tag wie sein Vater landet auch der zweite Sohn Egeons, ebenfalls Antipholus benannt, begleitet von Dromio, seinem Diener, auf der Suche nach seinem Bruder in Ephesus."
chunk_1.txt,"Auf einer seiner Geschäftsreisen gebar seine ihn begleitende Frau gleiche Zwillinge. Beide nannte er Antipholus. Danach kaufte er ein Paar identische Neugeborene mit Namen Dromio und gab je einen davon seinen Söhnen als Sklaven. Als auf der Rückfahrt ihr Schiff in einen Sturm geriet, band sich die Frau mit einem Sohn und einem Sklaven an einen Mast, Aegeon mit dem anderen Sohn und dem anderen Sklaven an einen Mast am anderen Ende des Schiffs. Das Schiff brach auseinander und die je an einen Mast Gebundenen wurden von verschiedenen Schiffen aufgenommen und so voneinander getrennt."
chunk_1.txt,"Egeon, ein Kaufmann aus der italienischen Stadt Siracusa, kommt nach Ephesos (damals Griechenland) auf der Suche nach seiner Familie, die er vor vielen Jahren während einer Schiffsreise verloren hat. Als das Schiff sank, wurde seine Frau mit einem der Zwillingssöhne von Fischern gerettet, während Egeon mit dem anderen Sohn von einem anderen Schiff aufgenommen wurde. Seit diesem Zeitpunkt hat die Familie vergeblich versucht, einander wiederzufinden."
chunk_2.txt,"Das gleichzeitige Auftauchen des Bruders Antipholus aus Syrakus führt zu einer Reihe an Verwicklungen, denn tatsächlich lebt der Verlorengeglaubte als erfolgreicher Geschäftsmann in Ephesus. Adriana, Frau des Antipholus aus Ephesus, verlangt vom fälschlich für ihren Mann gehaltenen Antipholus aus Syrakus, dass er endlich zum Essen kommen solle"
chunk_2.txt,"Antipholus von Syrakus (im Folgenden „v.S.“) beauftragt seinen Diener, sein Geld und Gepäck in einem Gasthof abzugeben. Bald trifft Antipholus v.S. Dromio von Ephesus, der von ihm verlangt, zum Essen nach Hause zu kommen, während Antipholus wissen will, was aus dem Geld und Gepäck geworden ist."
chunk_3.txt,"Adriana, Frau des Antipholus aus Ephesus, verlangt vom fälschlich für ihren Mann gehaltenen Antipholus aus Syrakus, dass er endlich zum Essen kommen solle"
chunk_3.txt,"Dromio von Ephesus kehrt zum Haus zurück und berichtet Adriana und ihrer Schwester Luciana von dem seltsamen Verhalten seines (vermeintlichen) Herrn. Adriana droht Dromio Schläge an, wenn er seinen Herrn nicht zurückbringe, worauf Dromio ein zweites Mal hinausgeht."
chunk_4.txt,"In der Stadt trifft Antipholus v.S. seinen Diener und dieser kann sich nicht erinnern, seinen Herrn nach Hause zum Essen gebeten zu haben."
chunk_6.txt,"Die beiden begegnen Adriana und Luciana, die sie für Antipholus von Ephesus und seinen Dromio halten."
chunk_7.txt,"Adriana besteht darauf, ihr "Ehemann" solle zum Essen kommen und er geht schließlich mit in das Haus, während Dromio als Wache unten an der Tür bleibt. Da taucht Antipholus von Ephesus mit seinem Dromio sowie dem Goldschmied Angelo vor seinem Haus auf"
chunk_7.txt,"Antipholus aus Siracusa ist sehr verwundert, von der attraktiven Adriana als Ehemann bezeichnet zu werden, zumal er sich gerade in ihre Schwester Luciana verliebt hat."
chunk_8.txt,"infolgedessen wird Antipholus aus Ephesus nicht mehr eingelassen"
chunk_8.txt,"Da taucht Antipholus von Ephesus mit seinem Dromio sowie dem Goldschmied Angelo vor seinem Haus auf und verlangt Eintritt, doch da selbst seine Frau Adriana glaubt, ihr Mann sei bereits im Hause, wird ihm der Zutritt verwehrt."
chunk_9.txt,"infolgedessen wird Antipholus aus Ephesus nicht mehr eingelassen und beschließt daher, mit einer Kurtisane zu essen und ihr ein eigentlich für seine Frau bestimmtes Diadem zu vermachen."
chunk_9.txt,"Der erboste Antipholus von E. beschließt darauf, bei einer Kurtisane zu dinieren, Angelo soll ihm dafür eine goldene Kette holen."
chunk_9.txt,"Sein Zwillingsbruder, Antipholus von Ephesos, ist über seine Dienerschaft verärgert, die seine Anordnungen nicht befolgt und sucht Zerstreuung im Haus der schönen Kurtisane"
chunk_10.txt,"Im Haus bekennt Antipholus von S. Luciana seine Liebe"
chunk_10.txt,"Antipholus aus Siracusa ist sehr verwundert, von der attraktiven Adriana als Ehemann bezeichnet zu werden, zumal er sich gerade in ihre Schwester Luciana verliebt hat."
chunk_11.txt,"Dormio von Siracusa ist verwirrt, weil eine Dienerin behauptet, mit ihm verlobt zu sein. Nach einer Weile kehrt Angelo zum Haus zurück und gibt Antipholus v.S. die goldene Kette."


