chunk_file	summary
chunk_0.txt	Der Kaufmann Egeon aus Syrakus landet auf der Suche nach seinem verschollenen Zwillingssohn Antipholus an der Küste von Ephesus. Dort wird er verhaftet, da Syrakus und Ephesus miteinander in einem Handelskrieg stehen, und da Egeon das Lösegeld nicht zahlen kann, wird er zum Tode verurteilt. Egeon erklärt, warum er nach Ephesus kam. Vor Jahren wurden seine Söhne sowie ein weiteres Zwillingspaar, Diener der Brüder, bei einem Schiffsunglück getrennt, bei dem auch Egeons Gattin verloren ging. Der gerührte Herzog von Ephesus gewährt Egeon zur Beschaffung des Lösegeldes Aufschub bis zum Abend.
chunk_0.txt	Der Herzog von Ephesus führt Aegeon, einen Kaufmann aus Syrakus, zur Exekution. Wegen eines Streites zwischen beiden Städten muss jeder in Ephesus ergriffene Syrakuser 1000 Mark zahlen, wozu Aegeon nicht imstande ist, oder er wird hingerichtet. Der Herzog bittet Aegeon zu erzählen, wie er nach Ephesus kam, und Aegeon erzählt: Auf einer seiner Geschäftsreisen gebar seine ihn begleitende Frau gleiche Zwillinge. Beide nannte er Antipholus. Danach kaufte er ein Paar identische Neugeborene mit Namen Dromio und gab je einen davon seinen Söhnen als Sklaven. Als auf der Rückfahrt ihr Schiff in einen Sturm geriet, band sich die Frau mit einem Sohn und einem Sklaven an einen Mast, Aegeon mit dem anderen Sohn und dem anderen Sklaven an einen Mast am anderen Ende des Schiffs. Das Schiff brach auseinander und die je an einen Mast Gebundenen wurden von verschiedenen Schiffen aufgenommen und so voneinander getrennt.
chunk_1.txt	 Am gleichen Tag wie sein Vater landet auch der zweite Sohn Egeons, ebenfalls Antipholus benannt, begleitet von Dromio, seinem Diener, auf der Suche nach seinem Bruder in Ephesus.
chunk_0.txt	Egeon, ein Kaufmann aus der italienischen Stadt Siracusa, kommt nach Ephesos (damals Griechenland) auf der Suche nach seiner Familie, die er vor vielen Jahren während einer Schiffsreise verloren hat. Als das Schiff sank, wurde seine Frau mit einem der Zwillingssöhne von Fischern gerettet, während Egeon mit dem anderen Sohn von einem anderen Schiff aufgenommen wurde. Seit diesem Zeitpunkt hat die Familie vergeblich versucht, einander wiederzufinden.
chunk_2.txt	Das gleichzeitige Auftauchen des Bruders Antipholus aus Syrakus führt zu einer Reihe an Verwicklungen, denn tatsächlich lebt der Verlorengeglaubte als erfolgreicher Geschäftsmann in Ephesus. Adriana, Frau des Antipholus aus Ephesus, verlangt vom fälschlich für ihren Mann gehaltenen Antipholus aus Syrakus, dass er endlich zum Essen kommen solle
chunk_2.txt	Antipholus von Syrakus (im Folgenden „v.S.“) beauftragt seinen Diener, sein Geld und Gepäck in einem Gasthof abzugeben. Bald trifft Antipholus v.S. Dromio von Ephesus, der von ihm verlangt, zum Essen nach Hause zu kommen, während Antipholus wissen will, was aus dem Geld und Gepäck geworden ist.
chunk_3.txt	Adriana, Frau des Antipholus aus Ephesus, verlangt vom fälschlich für ihren Mann gehaltenen Antipholus aus Syrakus, dass er endlich zum Essen kommen solle
chunk_3.txt	Dromio von Ephesus kehrt zum Haus zurück und berichtet Adriana und ihrer Schwester Luciana von dem seltsamen Verhalten seines (vermeintlichen) Herrn. Adriana droht Dromio Schläge an, wenn er seinen Herrn nicht zurückbringe, worauf Dromio ein zweites Mal hinausgeht.
chunk_4.txt	In der Stadt trifft Antipholus v.S. seinen Diener und dieser kann sich nicht erinnern, seinen Herrn nach Hause zum Essen gebeten zu haben.
chunk_5.txt	Antipholus schlägt seinen Diener, weil er glaubt von diesem belogen zu werden
chunk_6.txt	Die beiden begegnen Adriana und Luciana, die sie für Antipholus von Ephesus und seinen Dromio halten.
chunk_7.txt	Adriana besteht darauf, ihr 'Ehemann' solle zum Essen kommen und er geht schließlich mit in das Haus, während Dromio als Wache unten an der Tür bleibt. Da taucht Antipholus von Ephesus mit seinem Dromio sowie dem Goldschmied Angelo vor seinem Haus auf
chunk_7.txt	Antipholus aus Siracusa ist sehr verwundert, von der attraktiven Adriana als Ehemann bezeichnet zu werden, zumal er sich gerade in ihre Schwester Luciana verliebt hat.
chunk_8.txt	infolgedessen wird Antipholus aus Ephesus nicht mehr eingelassen
chunk_8.txt	Da taucht Antipholus von Ephesus mit seinem Dromio sowie dem Goldschmied Angelo vor seinem Haus auf und verlangt Eintritt, doch da selbst seine Frau Adriana glaubt, ihr Mann sei bereits im Hause, wird ihm der Zutritt verwehrt.
chunk_9.txt	infolgedessen wird Antipholus aus Ephesus nicht mehr eingelassen und beschließt daher, mit einer Kurtisane zu essen und ihr ein eigentlich für seine Frau bestimmtes Diadem zu vermachen.
chunk_9.txt	Der erboste Antipholus von E. beschließt darauf, bei einer Kurtisane zu dinieren, Angelo soll ihm dafür eine goldene Kette holen.
chunk_9.txt	Sein Zwillingsbruder, Antipholus von Ephesos, ist über seine Dienerschaft verärgert, die seine Anordnungen nicht befolgt und sucht Zerstreuung im Haus der schönen Kurtisane
chunk_10.txt	Im Haus bekennt Antipholus von S. Luciana seine Liebe
chunk_10.txt	Antipholus aus Siracusa ist sehr verwundert, von der attraktiven Adriana als Ehemann bezeichnet zu werden, zumal er sich gerade in ihre Schwester Luciana verliebt hat.
chunk_11.txt	Dormio von Siracusa ist verwirrt, weil eine Dienerin behauptet, mit ihm verlobt zu sein. Nach einer Weile kehrt Angelo zum Haus zurück und gibt Antipholus v.S. die goldene Kette.
chunk_12.txt	Der Goldschmied aber gibt das Diadem dem suchenden Bruder, fordert seinen Lohn jedoch von Antipholus von Ephesus, was dieser empört ablehnt und dadurch wiederum in Schwierigkeiten gerät.
chunk_13.txt	Als Angelo nachfolgend Antipholus von E. trifft und Zahlung verlangt, weigert sich dieser, da er keine Kette erhalten hat, woraufhin Angelo seine Festnahme veranlasst.
chunk_14.txt	Dormio von Syrakus geht zu Adriana und Luciana, um das Lösegeld zu holen.
chunk_15.txt	Antipholus v.S. trifft in der Stadt seinen Dromio mit Geld, das dieser von Adriana erhalten hat, damit Antipholus (v.E.) aus dem Gefängnis freikomme.
chunk_16.txt	Dromio v.E. findet den verhafteten Antipholus, der ihn nach dem Geld für seine Freilassung fragt, was Dromio wiederum nicht versteht.
chunk_17.txt	Da erscheint Adriana mit Luciana und behauptet, Antipholus habe bei ihr diniert, während Antipholus unterstützt von Dromio darauf besteht, er sei aus seinem eigenen Haus ausgeschlossen worden.
chunk_18.txt	Beide werden gefesselt zu Adrianas Haus gebracht.
chunk_19.txt	Angelo begegnet Dromio und Antipholus v.S. mit der Goldkette, nach einem Wortwechsel ziehen Angelo und Antipholus die Schwerter. Als auch noch Adriana und Luciana auftauchen, flüchten Antipholus und Dromio in eine nahe gelegene Abtei. 
chunk_20.txt	Die Äbtissin verwehrt Adriana und den anderen den Zutritt. 
chunk_21.txt	Daraufhin wendet sich Adriana an den Herzog von Ephesos, der gerade Aegeon zu seiner Hinrichtung führt, und bittet den Herzog um Hilfe. Dieser ist bereit zu vermitteln, als ein Bote erscheint und berichtet, dass sich Antipholus und Dromio (v.E.) von ihren Fesseln befreit haben. Da taucht Antipholus v.E. selber mit seinem Dromio auf und verlangt, dass der Herzog ihm Gerechtigkeit gegenüber seiner Frau gewähre, die ihn aus seinem Haus ausgeschlossen und zugelassen habe, dass er verhaftet und gefesselt wurde.
chunk_22.txt	Um das Wirrwarr von Behauptungen und Gegenbehauptungen entwirren zu können, lässt der Herzog die Äbtissin kommen. Aegeon begrüßt unterdessen seinen Sohn Antipholus v.E., der entgegnet, dass er seinen Vater in seinem Leben nie gesehen habe.
chunk_23.txt	Nun kommt die Äbtissin mit Antipholus und Dromio von S., was bei den Anwesenden zunächst Verwirrung auslöst, dann aber zur Auflösung der Spannungen führt: Die Äbtissin sagt Aegeon, dass sie seine Frau ist und die beiden Antipholi ihre Zwillingssöhne.
chunk_24.txt	Am Ende begibt sich die ganze Gesellschaft in die Abtei, um eine Feier zu begehen.
