chunk_file	summary
chunk_0.txt	Drei Hexen kommen bei Blitz und Donner zusammen und beschließen, sich noch vor Einbruch der Nacht mit dem Feldherrn Macbeth zu treffen. In düsteren Sprüchen deuten sie an, bei den folgenden Ereignissen die Fäden zu ziehen und für den Umsturz aller Werte zu stehen. er schottische König Duncan führt einen Krieg gegen den Rebellen Macdonwald und dessen irische und norwegische Verbündete. Auf dem Schlachtfeld trifft der König einen blutig verletzten Hauptmann, der ihm von den Heldentaten Macbeths, des Vetters des Königs, erzählt: Den Verräter Macdonwald habe er getötet und die Truppen des ebenso verräterischen, mit dem norwegischen König verbündeten Than von Cawdor zurückgeschlagen. König Duncan befiehlt, der abtrünnige Than solle hingerichtet werden, während Macbeth zur Belohnung für seine Tapferkeit dessen Titel erhalte.
chunk_0.txt	Das Drama beginnt mit dem gespenstischen Auftritt von drei Hexen, die inmitten eines Gewitters darüber beraten, wann und wo sie wieder zusammentreffen wollen. Gleichzeitig findet bei Forres die letzte Schlacht der königlichen Truppen Duncans gegen den norwegischen König Sweno statt, der vom Rebellen Macdonwald unterstützt wird. Im Feldlager nahe dem Schlachtfeld wird König Duncan darüber unterrichtet, dass Macdonwald von Macbeth besiegt wurde und auch der Thane of Cawdor die Norweger unterstützt hat. Nach dem Sieg der Schotten ordnet Duncan an, Amt und Würden des verräterischen Thane of Cawdor auf Macbeth zu übertragen.
chunk_1.txt	Kurz darauf trifft Macbeth in Begleitung des Feldherren Banquo auf einer Heide mit den drei Hexen zusammen. Sie prophezeien Macbeth, dass er zunächst der Nachfolger des Than von Cawdor und später König werden wird. Banquo hingegen erfährt, dass dereinst seine Kinder auf dem Thron sitzen werden.
chunk_1.txt	Zusammen mit Banquo trifft Macbeth auf seinem Rückweg von der Schlacht in einer Heide auf die Hexen. Diese sprechen ihn als Thane of Cawdor an und prophezeien ihm, bald König zu sein; seinem Begleiter Banquo hingegen verkünden sie, dereinst Ahnvater von Königen zu sein. Macbeth, in Unkenntnis der letzten militärischen Ereignisse, ist von dieser Weissagung mehr verwirrt als überzeugt.
chunk_1.txt	Nachdem sie erfolgreich eine Rebellion gegen ihren König Duncan niedergeschlagen haben, kehren die schottischen Lords Macbeth und Banquo nach Hause zurück. Drei Hexen prophezeien ihnen, dass Macbeth den Titel Thane of Cawdor bekommen und später König von Schottland werden wird, während Banquos Nachfahren zu einem späteren Zeitpunkt auf dem Thron sitzen werden.
chunk_2.txt	Kaum sind die drei Hexen entschwunden, erfährt Macbeth, dass ihm der König in der Tat den Titel des Than von Cawdor zugesprochen hat. Die beiden Feldherren sind erschüttert über die prompt eingetroffene Erfüllung der Prophezeiung, und sogleich beginnt sich Macbeths Fantasie mit dem zweiten, noch verlockenderen Teil des Hexenspruchs zu beschäftigen. Sogar der Gedanke an einen Königsmord kommt ihm in den Sinn.
chunk_2.txt	Als ihn jedoch kurz darauf Rosse über die Entscheidung des Königs, seine Ernennung zum Thane of Cawdor, in Kenntnis setzt und sich der erste Teil der Prophezeiung dadurch schnell erfüllt, kommt er ins Grübeln und freundet sich insgeheim bereits mit dem Gedanken an, den alten König Duncan abzulösen.
chunk_3.txt	Duncan begrüßt Macbeth. Für sich ringt Macbeth mit der Idee des Königsmord.
chunk_4.txt	Auf Inverness liest Lady Macbeth inzwischen einen Brief ihres Gatten, in dem dieser ihr von den Weissagungen der Hexen erzählt. Lady Macbeth traut ihrem Mann zwar den Ehrgeiz zu, König zu werden, nicht jedoch die dafür notwendige Skrupellosigkeit. Als sie wenig später erfährt, dass König Duncan zu Besuch kommt, schwelgt sie in Macht- und Mordfantasien und fleht die Geister an, jeden Anflug von Mitleid und Skrupel zu vertreiben. Macbeth, der kurz vor dem König im Schloss eintrifft, ist mit den blutigen Plänen seiner Gattin einverstanden. Der König wird nach seiner Ankunft von Lady Macbeth mit untertänigen Floskeln empfangen.
chunk_4.txt	Von ihrem Gemahl über die seltsame Begegnung mit den Hexen informiert, drängt die ehrgeizige Lady Macbeth ihren Mann zum Handeln: Da sie die Möglichkeit ausschließt, dass ihr Mann den Thron auf natürlichem Wege besteigen kann, fasst sie kurzerhand den Mord an König Duncan ins Auge.
chunk_4.txt	Von diesem Moment an ist Macbeths Ehrgeiz geweckt, den seine Frau Lady Macbeth noch befeuert als sie ihm zuredet, König Duncan zu töten während er sich zu Besuch in ihrem Schloss aufhält. Trotz seiner anfänglichen Zweifel und Gewissensbisse entschließt sich Macbeth, die Tat zu begehen, wobei ihn Lady Macbeth tatkräftig unterstützt.
chunk_5.txt	während Macbeth mit Gewissensbissen ringt: Schließlich sei der König ein gütiger Herrscher, und die Ermordung eines vertrauensvollen Gastes wäre doppelt verrucht. Doch als Lady Macbeth ihren Gatten mit Vorwürfen überhäuft, ihn einen Feigling nennt, seinen Mangel an Ehrgeiz kritisiert und sogar an seiner ehelichen Liebe zweifelt, gibt er nach. 
chunk_5.txt	Macbeth schreckt zunächst davor zurück, gibt aber, um vor seiner Frau nicht als Feigling dazustehen und seine von ihr infrage gestellte Männlichkeit zu beweisen, schließlich nach und willigt ein, Duncan bei dessen unmittelbar bevorstehendem Besuch auf Macbeths Burg in Inverness zu töten.
chunk_6.txt	Die beiden fassen den Plan, den König im Schlaf zu ermorden und die Tat den Wächtern in die Schuhe zu schieben, die sie zuvor mit Wein und Bier abfüllen wollen. Während der König bereits schläft, geht Banquo, ebenfalls zu Gast im Schloss, von bösen Vorahnungen getrieben mit seinem Sohn Fleance im Schlosshof umher. Zu ihrer Überraschung treffen sie auf Macbeth, trennen sich jedoch nach einem kurzen Gespräch über die Bedeutung der Hexenerscheinung von ihm. 
chunk_6.txt	Macbeth trifft Banquo und Fleance im Schloßhof.
chunk_7.txt	Plötzlich hat Macbeth eine Vision: Er sieht einen blutigen Dolch vor sich schweben und wird von Angst überwältigt, ringt sich aber dennoch dazu durch, seinen Plan umzusetzen. Er ermordet den König. Derweil wartet Lady Macbeth auf ihren Gatten. Um die Tat vorzubereiten, hat sie Duncans Wachen vergiftet und ihrem Mann die Mordwaffe bereitgelegt. Noch immer zweifelt sie allerdings an Macbeths Tatkraft. Am liebsten hätte sie den Mord eigenhändig ausgeführt, doch der schlafende König erinnerte sie an ihren Vater. Macbeth kommt völlig verstört aus dem Schlafgemach des Ermordeten, in der Hand den blutigen Dolch. Er weigert sich, zurückzukehren und die Waffe wie abgesprochen neben die Wächter zu legen. Als es plötzlich gegen das Tor des Schlosses klopft, fährt er erschreckt zusammen. Lady Macbeth bringt den Dolch selber zurück, ruft ihren Mann einmal mehr zu Ruhe und Nervenstärke auf und zieht sich mit ihm zurück. Es soll aussehen, als hätten sie während des Mordes friedlich und unschuldig geschlafen. 
chunk_8.txt	Der Tag bricht an, und es klopft erneut ans Tor. Es sind die beiden schottischen Adligen Macduff und Lenox, die gekommen sind, um den König abzuholen. 
chunk_9.txt	Als Macduff die Leiche entdeckt, ruft er das ganze Schloss zusammen. Macbeth und Lenox stürzen zum Tatort. Als sie wenig später zurückkommen, beteuert Macbeth, die Wachen hätten den König ermordet – und er habe sie in einem Wutanfall kurzerhand gerichtet. Das mörderische Ehepaar heuchelt Entsetzen, Lady Macbeth täuscht sogar einen Ohnmachtsanfall vor. 
chunk_9.txt	Macduff entdeckt den Mord, schlägt Alarm und versetzt die gesamte Hofgesellschaft in helle Aufregung. In der allgemeinen Verwirrung erschlägt Macbeth die zwei Kammerdiener Duncans als die mutmaßlichen Mörder. 
