chunk_file	summary
chunk_0.txt	Three witches come together in thunder and lightning and decide to meet with the general Macbeth before nightfall. In somber sayings they indicate that they will pull the strings in the following events and stand for the downfall of all values. The Scottish king Duncan is waging war against the rebel Macdonwald and his Irish and Norwegian allies. On the battlefield, the king meets a wounded general, who tells him about the heroic deeds of Macbeth, the king's cousin: he killed the traitor Macdonwald and drove back the troops of the equally treacherous Than of Cawdor, who was allied with the Norwegian king. King Duncan orders the renegade thane to be put to death, while Macbeth receives his title as a reward for his bravery. 
chunk_0.txt	The drama begins with the ghostly appearance of three witches in the midst of a thunderstorm, deliberating when and where to meet again. At the same time, the last battle of Duncan's royal troops against the Norwegian king Sweno, who is supported by the rebel Macdonwald, takes place at Forres. In the encampment near the battlefield, King Duncan is informed that Macdonwald was defeated by Macbeth and that the Thane of Cawdor also supported the Norwegians. After the Scots victory, Duncan orders the treacherous Thane of Cawdor's office and honors to be transferred to Macbeth. 
chunk_1.txt	Shortly thereafter, Macbeth, accompanied by General Banquo, meets the three witches on a heath. They prophesy to Macbeth that he will first succeed the thane of Cawdor and later become king. Banquo, on the other hand, learns that one day his children will sit on the throne.
chunk_1.txt	Along with Banquo, Macbeth encounters the witches on a heath on his way back from battle. They address him as Thane of Cawdor and prophesy that he will soon be king; On the other hand, they tell his companion Banquo that they will one day be the ancestors of kings. Macbeth, ignorant of recent military events, is more confused than convinced by this prophecy. 
chunk_1.txt	After successfully putting down a rebellion against their king, Duncan, Scottish lords Macbeth and Banquo return home. Three witches prophesy to them that Macbeth will take the title of Thane of Cawdor and later become King of Scotland, while Banquo's descendants will sit on the throne at a later date.
chunk_2.txt	No sooner have the three witches gone than Macbeth learns that the king has indeed granted him the title of Thane of Cawdor. The two generals are shocked by the prompt fulfillment of the prophecy, and Macbeth's imagination immediately begins to occupy itself with the second, even more enticing part of the witch's spell. Even the thought of regicide crosses his mind.
chunk_2.txt	However, when Rosse informs him shortly afterwards about the king's decision to appoint him Thane of Cawdor, and the first part of the prophecy is quickly fulfilled as a result, he begins to ponder and secretly becomes friends with the idea of replacing the old king Duncan.
chunk_3.txt	 Duncan greets Macbeth. For himself, Macbeth wrestles with the idea of regicide. 
chunk_4.txt	 Meanwhile, in Inverness, Lady Macbeth is reading a letter from her husband, in which he tells her about the prophecies of witches. Lady Macbeth credits her husband with the ambition to become king, but not with the necessary unscrupulousness. When she learns a little later that King Duncan is coming to visit, she revels in fantasies of power and murder and begs the spirits to banish any trace of pity and scruples. Macbeth, who arrives at the castle shortly before the king, agrees to his wife's bloody plans. After his arrival, the king is received by Lady Macbeth with humble phrases.
chunk_4.txt	 Informed by her husband about the strange encounter with the witches, the ambitious Lady Macbeth urges her husband to act: Since she excludes the possibility that her husband can ascend the throne naturally, she unceremoniously considers the murder of King Duncan.
chunk_4.txt	From that moment Macbeth's ambition is piqued, fueled by his wife, Lady Macbeth, who persuades him to kill King Duncan while he is visiting their castle. Despite his initial doubts and remorse, Macbeth decides to commit the crime, with Lady Macbeth actively supporting him. 
chunk_5.txt	while Macbeth wrestles with remorse: After all, the king is a benevolent ruler and the murder of a trusting guest would be doubly wicked. But when Lady Macbeth heaps reproaches on her husband, calling him a coward, criticizing his lack of ambition and even doubting his conjugal love, he relents.
chunk_5.txt	Macbeth hesitates at first, but in order not to appear a coward in front of his wife and to prove his questioned masculinity, he finally gives in and agrees to kill Duncan on his imminent visit to Macbeth's castle in Inverness. 
chunk_6.txt	The two come up with the plan to murder the king in his sleep and blame the crime on the guards, who they want to fill up with wine and beer beforehand. While the king is already asleep, Banquo, also a guest in the castle, is driven by forebodings and wanders around the castle courtyard with his son Fleance. To their surprise, they meet Macbeth, but part with him after a brief conversation about the meaning of the witch apparition. 
chunk_6.txt	Macbeth meets Banquo and Fleance in the castle courtyard. 
chunk_7.txt	Suddenly, Macbeth has a vision: he sees a bloody dagger floating in front of him and is overcome by fear, but still decides to carry out his plan. He murders the king. Meanwhile, Lady Macbeth is waiting for her husband. In preparation for the crime, she poisoned Duncan's guards and provided her husband with the murder weapon. However, she still doubts Macbeth's drive. She would have preferred to have carried out the murder herself, but the sleeping king reminded her of her father. Macbeth comes out of the murdered man's bedchamber, completely distraught, the bloody dagger in his hand. He refuses to return and place the gun next to the guards as agreed. When someone suddenly knocks on the castle gate, he jumps in shock. Lady Macbeth brings back the dagger herself, once more calls on her husband to be calm and strong, and retires with him. It should look like they slept peacefully and innocently during the murder.
chunk_8.txt	Day breaks and there is another knock at the gate. It is the two Scottish nobles, Macduff and Lenox, who have come to fetch the king. 
