file_name	summary
chunk_0.txt	Drei Hexen erwarten ein Treffen mit Macbeth. König Duncan hört einen Bericht darüber, wie seine Generäle Macbeth und Banquo die Norweger und die schottischen Rebellen besiegten. Die Hexen versammeln sich auf einer Heide und treffen die aus dem Krieg heimkehrenden Generäle.
chunk_1.txt	Nach der Schlacht stoßen Macbeth und sein Freund Banquo auf die seltsamen Schwestern, drei Hexen, die prophezeien, dass Macbeth Than von Cawdor und eines Tages König werden wird.
chunk_2.txt	Sie prophezeien außerdem, dass Banquos Nachkommen Könige sein werden. Die Männer glauben den Hexen zunächst nicht, erfahren dann aber, dass der alte Than von Cawdor tatsächlich ein Verräter war, der den Norwegern half, und dass Duncan Macbeths Tapferkeit auf dem Schlachtfeld belohnt hat, indem er ihn zum Than von Cawdor ernannt hat. 
chunk_3.txt	Macbeth träumt sofort davon, Duncan zu ermorden und König zu werden, verdrängt den Gedanken jedoch. Später an diesem Tag gibt Duncan bekannt, dass sein ältester Sohn Malcolm sein Thronfolger sein wird. Als Macbeth seinem Ehrgeiz nachgibt, beschließt Duncan, die Nacht zum Feiern auf Macbeths Schloss in Inverness zu verbringen.
chunk_4.txt	Lady Macbeth erhält von ihrem Ehemann die Nachricht von der Prophezeiung und seinem neuen Titel und schwört, ihm mit allen Mitteln dabei zu helfen, König zu werden. Auf Macbeths Rückkehr folgt fast gleichzeitig Duncans Ankunft.
chunk_5.txt	Sie beschließt, dass ihr Mann zu freundlich ist, seinen Ambitionen zu folgen, und schwört, ihn dazu zu drängen, Duncan zu ermorden und noch in dieser Nacht die Krone zu übernehmen. Macbeth widersetzt sich zunächst dem Plan seiner Frau, aber sein Ehrgeiz und ihre ständige Infragestellung seines Mutes und seiner Männlichkeit überzeugen ihn. 
chunk_6.txt	Er ermordet Duncan, so dass der Anschein erweck wird, dass die Diener schuld seien, und schildert seiner Frau die Szene.
chunk_7.txt	Sie muss die Dolche, die er benutzt hat, in Duncans Schlafzimmer zurückbringen, und auch ihre Hände sind mit Blut bedeckt. 
chunk_8.txt	Sie ziehen sich zurück, als sie wiederholtes Klopfen an den Burgtoren hören. Macduff kommt und unterhält sich kurz mit dem Portier.
chunk_9.txt	Er entdeckt den toten König und weckt das Schloss.
chunk_10.txt	Kurz darauf denken Ross und Macduff darüber nach, was passiert ist, und Macduff berichtet, dass Macbeth zum König ernannt wurde.
chunk_11.txt	Macbeth wird zum König ernannt, und weil sie geflohen sind, werden Duncans Söhne zu den Hauptverdächtigen im Mordfall an ihrem Vater. Da er die Prophezeiung der Hexen kennt, ist Banquo Macbeth gegenüber misstrauisch. Und aufgrund der Prophezeiung, dass Banquos Linie als Könige regieren wird, sieht Macbeth Banquo als Bedrohung. Macbeth gibt ein Festmahl und lädt viele Thane ein, darunter auch Banquo.
chunk_12.txt	Macbeth heuert zwei Mörder an, um Banquo und seinen Sohn Fleance zu töten, während sie zum Fest reiten.
chunk_13.txt	Die Männer töten Banquo, aber Fleance entkommt.
chunk_14.txt	Auf dem Fest sieht Macbeth Banquos Geist, obwohl ihn niemand sonst sieht. Macbeths Verhalten und der Tod von Banquo machen alle Thane misstrauisch.
chunk_15.txt	Macbeth beschließt, zu den Hexen zurückzukehren, um sein Schicksal herauszufinden. 
chunk_16.txt	Macduff weigert sich,überhaupt am königlichen Hof zu erscheinen und reist nach England, um Malcolm bei seinem Versuch zu unterstützen, eine Armee gegen Macbeth aufzustellen. 
chunk_17.txt	Macbeth besucht die drei Hexen, um mehr über sein Schicksal zu erfahren. Sie zeigen ihm drei Erscheinungen, die Macbeth sagen, er solle sich vor Macduff in Acht nehmen, aber auch, dass kein „von einer Frau geborener Mann“ ihn besiegen kann und dass er regieren wird, bis der Wald von Birnam nach Dunsinane marschiert.
chunk_18.txt	 Um seinen Einfluss auf die Krone zu stärken, schickt Macbeth Männer zu Macduffs Schloss, um Macduffs Familie zu ermorden.
chunk_19.txt	Viele, darunter auch Macduffs Familie, werden ermordet.
chunk_20.txt	Malcolm stellt Macduffs Treue zu Schottland auf die Probe, indem er zunächst ein düsteres Bild seiner eigenen Persönlichkeit als zukünftiger König zeichnet und dann seinen wahren Charakter enthüllt.
chunk_21.txt	Sie vereinbaren, mit englischer Unterstützung gemeinsam zu kämpfen. Während des Treffens überbringt Ross die Nachricht vom Mord an Macduffs Familie. 
chunk_22.txt	Als England von der Ermordung von Macduffs Familie erfährt, schwört Macduff weinend Rache.
chunk_23.txt	Ein Arzt und eine Dame beobachten Lady Macbeth beim Schlafwandeln, die halluziniert, dass sie ihre Hände nicht von Duncans Blut reinigen kann. 
chunk_24.txt	Macbeth ist manisch, grausam und hochmütig geworden - viele seiner Männer desertieren zu Malcolms Seite. 
chunk_25.txt	Die schottischen Adligen versammeln sich und Malcolm befiehlt seinen Männern, sich beim Angriff mit Ästen zu tarnen, um so den Anschein zu erwecken, als würde sich der Wald Birnam Dunsinane nähern. Macbeth erfährt, dass seine Frau gestorben ist.
chunk_26.txt	Ohne Angst vor Männern geboren von einer Frau, kämpft Macbeth weiter und tötet den jungen Seyward, doch als er Macduff trifft, erfährt er von Macduffs Kaiserschnittgeburt.
chunk_27.txt	 Macduff triumphiert und bringt den Kopf des Verräters zu Malcolm, der den Frieden erklärt, und wird zum König gekrönt.
